Product URL,Product Name,Product Price,Rating,Number of Reviews
/ZaySoo-Stylish-Backpack-College-Business/dp/B0BVZL49N8,ZaySoo Stylish Casual Laptop Backpack/Office Bag/College Bag/Business Bag/Travel Backpack - Navyblue,307,5.0 out of 5 stars,2
/gp/bestsellers/kitchen/1380547031/ref=sr_bs_6_1380547031_1,"GLUN® Round Shape Foldable Laundry Bag Capacity of 45 Ltr, Non Woven Toys and Cloth Bag, Grey and Black Combination Pack of 1",161,3.9 out of 5 stars,118
/DOUBLE-BAGS-Cotton-Shopping-Multicolour/dp/B07FKQLPDR,"DOUBLE R BAGS Multicolour Canvas Shopping Bag with Double Handle, Cloth Grocery Tote Bags, Reusable Shopping Grocery Bags,Foldable and Eco Friendly Washable Medium (Set of 6) (Dd-0101)",493,4.3 out of 5 stars,"1,106"
/Amazon-Brand-Solimo-Underbed-Storage/dp/B084MS8LTW,Amazon Brand - Solimo Rectangular Rexine Jumbo Underbed Storage Bag with Zipper and Handle- 18.9 x 23.62 x 14.17 Inches (Black and White),339,4.2 out of 5 stars,"1,138"
/Artistix-Unisex-Travel-Backpack-Repellent/dp/B09B5DMGM1,"Artistix Avian Unisex Water Repellent Anti Theft Travel Backpack with USB Port (Black, 32 L)","1,989",4.5 out of 5 stars,"1,037"
/Wildcraft-Typo_Blk-Casual-Backpack-11619-Typo_Blk/dp/B079MBFH5V,Wildcraft 35 ltrs (19 Cms) Casual Backpack(11619-Typo_Blk_Black),"1,495",4.1 out of 5 stars,414
/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07X6DV3VM,"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue- with Warranty",798,3.8 out of 5 stars,"1,379"
/AirCase-Premium-Waterproof-Neoprene-Warranty/dp/B07JBBKD5S,"AirCase Premium Laptop Bag with 6 Pockets fits Upto 15.6"" Laptop/MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case Cover Sleeve Pouch, for Men & Women,Ash- 6 Months Warranty",598,4.4 out of 5 stars,"4,268"
/DAHSHA-Sling-Messenger-Bag-Grey/dp/B09CGDFNBV,"DAHSHA Nylon Stylish Small 6 Multi-Pocket Zip Closure Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Grey, 25 x 10 x 20 CM)",545,4.0 out of 5 stars,860
/gp/bestsellers/electronics/4175441031/ref=sr_bs_14_4175441031_1,Dyazo Water Resistant Camera Backpack with Extra Front Pocket Photographers Bag with Rain Cover Tripod Holder Compatible for Sony Nikon Canon Panasonic DSLR (Black & Orange),698,4.2 out of 5 stars,733
/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook",349,4.0 out of 5 stars,176
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=VtYRH&content-id=amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066:amzn1.sym.1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_p=1c7db1d2-1fe9-496b-8f07-8ed64c022066&pf_rd_r=JXBX85YAWFZ8GMSBRQTG&pd_rd_wg=kR5Vz&pd_rd_r=f9a957c1-042b-4d02-a633-16368e9ddc91&qid=1697645098,N/A,N/A,N/A,"
                                                    bags for girls
                                                "
/gp/help/customer/display.html?nodeId=201889520,N/A,N/A,N/A, or 
/PLAYY-BAGS-Polyester-Business-Shoulder/dp/B0CJC93HDH,PLAYY BAGS Small 12 L daypack Small Bag for Daily Use - 2 Compartment Mini daypack,224,N/A,M.R.P: 
